"tanggal","total_omset","total_pesanan"
"03-31-22",84013.0,136
"04-01-22",620639.0,975
"04-02-22",656186.0,1040
"04-03-22",726149.0,1115
"04-04-22",621281.0,949
"04-05-22",674384.0,1077
"04-06-22",598909.0,1006
"04-07-22",601395.0,951
"04-08-22",711200.0,1102
"04-09-22",655302.0,1039
"04-10-22",694071.0,1083
"04-11-22",557974.0,861
"04-12-22",535485.0,817
"04-13-22",631690.0,1004
"04-14-22",746438.0,1179
"04-15-22",687520.0,1139
"04-16-22",610406.0,959
"04-17-22",514316.0,805
"04-18-22",519264.0,852
"04-19-22",542842.0,868
"04-20-22",644478.0,1025
"04-21-22",603642.0,1002
"04-22-22",587005.0,947
"04-23-22",655011.0,1051
"04-24-22",609452.0,957
"04-25-22",499153.0,799
"04-26-22",481217.0,784
"04-27-22",427152.0,688
"04-28-22",475857.0,771
"04-29-22",601085.0,954
"04-30-22",722003.0,1142
"05-01-22",795720.0,1243
"05-02-22",829175.0,1365
"05-03-22",841931.0,1369
"05-04-22",846792.0,1339
"05-05-22",612904.0,964
"05-06-22",611769.0,900
"05-07-22",545804.0,817
"05-08-22",523516.0,833
"05-09-22",467513.0,723
"05-10-22",380215.0,596
"05-11-22",393239.0,598
"05-12-22",386857.0,585
"05-13-22",376381.0,556
"05-14-22",375240.0,556
"05-15-22",439856.0,653
"05-16-22",384353.0,562
"05-17-22",370858.0,556
"05-18-22",404319.0,603
"05-19-22",429821.0,615
"05-20-22",350524.0,530
"05-21-22",376240.0,568
"05-22-22",459692.0,694
"05-23-22",500033.0,725
"05-24-22",553155.0,816
"05-25-22",578239.0,848
"05-26-22",591698.0,868
"05-27-22",627628.0,922
"05-28-22",656461.0,972
"05-29-22",602372.0,894
"05-30-22",588422.0,841
"05-31-22",629277.0,915
"06-01-22",631946.0,981
"06-02-22",598491.0,893
"06-03-22",506030.0,812
"06-04-22",635294.0,991
"06-05-22",694803.0,1072
"06-06-22",659726.0,1004
"06-07-22",651659.0,982
"06-08-22",653737.0,1035
"06-09-22",669083.0,1037
"06-10-22",551877.0,838
"06-11-22",606331.0,932
"06-12-22",661559.0,1028
"06-13-22",593579.0,892
"06-14-22",643961.0,967
"06-15-22",538787.0,802
"06-16-22",538722.0,823
"06-17-22",472646.0,691
"06-18-22",453006.0,686
"06-19-22",430633.0,665
"06-20-22",487488.0,747
"06-21-22",497883.0,782
"06-22-22",514620.0,814
"06-23-22",406337.0,636
"06-24-22",423293.0,654
"06-25-22",458603.0,681
"06-26-22",511069.0,758
"06-27-22",447699.0,660
"06-28-22",444275.0,665
"06-29-22",115595.0,173
